transaction_id,customer_id,item_id,transaction_date,item_price,item_quantity
1001,cust-001,product-001,2022-01-01,12.50,3
1002,cust-002,product-002,2022-01-01,5.99,5
1003,cust-003,product-001,2022-01-01,12.50,2
1004,cust-004,product-003,2022-01-02,25.00,1
1005,cust-005,product-004,2022-01-02,10.00,4
1006,cust-006,product-002,2022-01-02,5.99,3
1007,cust-007,product-001,2022-01-03,12.50,2
1008,cust-008,product-003,2022-01-03,25.00,1
1009,cust-009,product-004,2022-01-03,10.00,5
1010,cust-010,product-005,2022-01-04,15.00,2
1011,cust-011,product-002,2022-01-04,5.99,1
1012,cust-012,product-003,2022-01-04,25.00,2
1013,cust-013,product-004,2022-01-05,10.00,3
1014,cust-014,product-001,2022-01-05,12.50,1
1015,cust-015,product-005,2022-01-05,15.00,4
1016,cust-016,product-002,2022-01-06,5.99,2
1017,cust-017,product-003,2022-01-06,25.00,1
1018,cust-018,product-004,2022-01-06,10.00,3
1019,cust-019,product-001,2022-01-07,12.50,1
1020,cust-020,product-005,2022-01-07,15.00,2
